file,bucket,blocking,via,first_error
src/ui/backdrop_blur.cpp,B,spdlog/fmt/json via shim,,
src/ui/console_filter_engine.cpp,B,spdlog/fmt/json via shim,,
src/ui/fan_spin_animation.cpp,A,,,
src/ui/filament_path_geometry.cpp,A,,,
src/ui/filament_tube_stroker.cpp,A,,,
src/ui/grid_edit_mode.cpp,C,int32_t=long on Xtensa (std::min/max/clamp arg mix),,"/home/pbrown/Code/Printing/helixscreen/src/ui/grid_edit_mode.cpp:399:38: error: no matching function for call to 'min(uint32_t, unsigned int)'"
src/ui/grid_layout.cpp,B,spdlog/fmt/json via shim,,
src/ui/helix_sparkline.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/ipp_print_modal.cpp,B,spdlog/fmt/json via shim,,
src/ui/job_queue_state.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/keyboard_layout_provider.cpp,A,,,
src/ui/locale_formats.cpp,B,spdlog/fmt/json via shim,,
src/ui/modals/buffer_status_modal.cpp,B,spdlog/fmt/json via shim,,
src/ui/modals/camera_config_modal.cpp,C,rtti (CONFIG_COMPILER_CXX_RTTI=y flips this),include/panel_widget_manager.h,/home/pbrown/Code/Printing/helixscreen/include/panel_widget_manager.h:40:51: error: cannot use 'typeid' with '-fno-rtti'
src/ui/modals/clog_detection_config_modal.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/modals/favorite_macro_config_modal.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/modals/macro_param_modal.cpp,B,spdlog/fmt/json via shim,,
src/ui/modals/ui_preflight_check_modal.cpp,B,spdlog/fmt/json via shim,,
src/ui/modals/ui_spaghetti_detection_modal.cpp,B,spdlog/fmt/json via shim,,
src/ui/operation_timeout_guard.cpp,B,spdlog/fmt/json via shim,,
src/ui/overlay_base.cpp,B,spdlog/fmt/json via shim,,
src/ui/page_scroll_auto_inject.cpp,B,spdlog/fmt/json via shim,,
src/ui/page_scroll_controller.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widget_manager.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widget_registry.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/active_spool_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/camera_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/clock_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/clog_detection_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/control_buttons_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/fan_stack_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/fan_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/gcode_console_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/heater_temp_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/humidity_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/job_queue_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/led_controls_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/led_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
src/ui/panel_widgets/lock_widget.cpp,C,rtti (CONFIG_COMPILER_CXX_RTTI=y flips this),include/panel_widget_manager.h,/home/pbrown/Code/Printing/helixscreen/include/panel_widget_manager.h:40:51: error: cannot use 'typeid' with '-fno-rtti'
src/ui/panel_widgets/macros_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/motion_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/network_widget.cpp,B,spdlog/fmt/json via shim,,
src/ui/panel_widgets/nozzle_temps_widget.cpp,D,hv/Event.h,include/moonraker_client.h,/home/pbrown/Code/Printing/helixscreen/include/moonraker_client.h:40:10: fatal error: hv/Event.h: No such file or directory
